time,ax,ay,az,gx,gy,gz,temp
8360,0.2839355,0.9521484,-0.151123,-2.29771,-0.870229,-0.2366412,28.55294
7866,0.310791,0.9177246,-0.1420898,-0.9312977,0.1145038,-1.450382,28.50588
7829,0.2854004,0.9394531,-0.1381836,-1.580153,-0.2061069,0.5801527,28.64706
7800,0.2717285,0.9650879,-0.1218262,0.6335878,0.3206107,-0.2977099,28.50588
7801,0.2937012,0.9599609,-0.1604004,-0.1068702,-1.083969,0.5419847,28.64706
7788,0.2807617,0.9343262,-0.1672363,-1.053435,-0.4503817,0.3969466,28.6
7849,0.2993164,0.9338379,-0.1547852,-0.9160305,-0.4274809,-0.5114504,28.55294
8185,0.2734375,0.9460449,-0.1306152,0.9312977,-1.419847,1.549618,28.55294
7856,0.286377,0.9499512,-0.142334,1.580153,-1.877863,0.3206107,28.6
7819,0.2961426,0.9326172,-0.1791992,-0.1221374,-0.8931297,0.1755725,28.64706
7844,0.296875,0.940918,-0.1604004,-0.8931297,-0.2824428,-0.3282443,28.55294
7841,0.2849121,0.9438477,-0.1328125,-2.061069,0.07633588,-0.5725191,28.50588
7838,0.2600098,0.9467773,-0.1318359,-2.526718,-0.2442748,0.5114504,28.64706
7775,0.2871094,0.9367676,-0.1044922,0.3435115,0.5038168,0.9541985,28.6
8177,0.2976074,0.9489746,-0.1171875,2.351145,-0.1221374,0.9389313,28.55294
7832,0.3085938,0.9538574,-0.1513672,0.7709923,-1.48855,0.1450382,28.6
7852,0.2983398,0.9401855,-0.1694336,-0.5801527,-1.122137,-0.480916,28.64706
7805,0.2856445,0.940918,-0.1948242,-2.412214,0.1679389,-0.5954198,28.55294
7797,0.2822266,0.9445801,-0.1447754,-3.175573,0.01526718,-0.1374046,28.6
7796,0.2880859,0.9501953,-0.1286621,-1.801527,-0.3816794,0.4198473,28.55294
7806,0.2822266,0.9545898,-0.1188965,-0.2824428,-0.7557252,0.5038168,28.55294
7798,0.2861328,0.9433594,-0.140625,1.450382,-0.9770992,0.4732824,28.55294
7812,0.2956543,0.939209,-0.1757813,0.9007633,-1.068702,0.03053435,28.55294
7821,0.2932129,0.9401855,-0.189209,-0.1603053,-0.3969466,-0.4580153,28.6
7780,0.2370605,0.9284668,-0.2351074,-1.580153,2.366412,-0.01526718,28.55294
7814,0.3154297,0.9213867,-0.1547852,-4.801527,-2.412214,-0.1603053,28.55294
7808,0.295166,0.9628906,-0.09863281,-0.8167939,-0.8549618,-0.610687,28.50588
7821,0.2790527,0.9360352,-0.1279297,0.7099237,1.496183,-0.4274809,28.64706
8155,0.2700195,0.9121094,-0.1208496,-4.358778,-1.007634,1.053435,28.6
7854,0.2839355,0.9089355,-0.1853027,-1.885496,-0.7862596,-0.129771,28.64706
7791,0.265625,0.9375,-0.213623,-1.10687,1.229008,-0.6641222,28.55294
7816,0.2668457,0.9406738,-0.1955566,1.473282,-0.4656488,0.4580153,28.64706
7807,0.276123,0.9387207,-0.1147461,-2.877863,-0.2900764,0.3282443,28.6
7815,0.3012695,0.9404297,-0.1374512,-1.022901,-2.152672,0.4580153,28.45882
7820,0.2924805,0.9465332,-0.1342773,0.9007633,-0.6335878,-0.259542,28.55294
7824,0.2966309,0.9521484,-0.1499023,1.022901,-0.8396947,-0.8625955,28.69412
7842,0.2905273,0.9284668,-0.1779785,-1.312977,-0.7099237,-1.259542,28.64706
7835,0.2993164,0.9125977,-0.182373,-1.770992,-0.4122138,-0.6564885,28.55294
7840,0.2814941,0.9506836,-0.1303711,-0.5038168,-1.229008,-1.122137,28.6
7830,0.2763672,0.9572754,-0.1118164,-0.5038168,-0.8625955,0.1679389,28.50588
7814,0.2751465,0.942627,-0.1535645,-0.4503817,-0.7557252,0.5038168,28.55294
8185,0.2854004,0.9389648,-0.1694336,-0.7251908,-0.08396947,0.3435115,28.55294
7852,0.2810059,0.9462891,-0.1645508,-0.8625955,-0.351145,0.6335878,28.55294
7795,0.2785645,0.9506836,-0.1369629,-1.305344,-0.6030535,0.9236641,28.50588
7786,0.2956543,0.9453125,-0.1499023,-1.48855,-0.2137404,0.5648855,28.55294
7821,0.3139648,0.9453125,-0.1462402,-0.6564885,-1.267176,0.1221374,28.6
7839,0.2844238,0.9433594,-0.144043,-0.03816794,-0.351145,0.01526718,28.55294
7826,0.2731934,0.9428711,-0.1503906,-0.2977099,-0.4656488,0.01526718,28.55294
7834,0.2839355,0.9360352,-0.1677246,-0.9770992,-0.5572519,0.2213741,28.64706
7816,0.2797852,0.9428711,-0.1535645,-0.5877862,-0.389313,0.129771,28.6
7796,0.2890625,0.9462891,-0.1437988,-0.9465649,-0.1526718,0.2748091,28.64706
7829,0.2890625,0.942627,-0.1396484,-1.061069,-0.4732824,0.1526718,28.69412
7819,0.282959,0.9484863,-0.1420898,-0.9007633,-0.5572519,0.129771,28.64706
7807,0.2868652,0.9467773,-0.1296387,-0.519084,-0.610687,0.03053435,28.6
7832,0.2895508,0.9389648,-0.1577148,-0.8167939,-0.4732824,0.03816794,28.55294
8074,0.3000488,0.6591797,-0.3564453,63.8855,250.1298,-11.63359,28.6
7847,0.6442871,0.7971191,-0.1467285,12.00763,18.67939,-32.25191,28.55294
7821,-0.09106445,1.093018,-0.02563477,35.71756,86.25191,-8.908397,28.55294
7829,0.07763672,1.046631,-0.06518555,22.01527,57.9084,9.778625,28.50588
7787,0.1455078,0.9089355,-0.2802734,8.496183,-2.870229,34.22901,28.55294
7792,0.1306152,0.9763184,-0.2478027,0.3969466,-0.2977099,21.42748,28.6
7867,0.3256836,0.923584,-0.2128906,-5.862596,3.236641,19.98473,28.55294
7786,0.5151367,0.8916016,-0.1635742,-8.297709,1.366412,8.236641,28.50588
7763,0.5678711,0.8894043,-0.1032715,-5.732824,-0.5496183,-5.541985,28.50588
7784,0.395752,0.9130859,-0.07299805,-0.9847328,0.1603053,-11.49618,28.55294
7800,0.2492676,0.9470215,-0.1181641,3.70229,-2.618321,-7.664122,28.50588
7821,0.15625,0.9692383,-0.1647949,4.045802,-1.984733,0.4503817,28.64706
7807,0.1848145,0.9567871,-0.2141113,1.183206,-0.7099237,6.732824,28.55294
7859,0.3583984,0.9265137,-0.1721191,-3.160305,0.5877862,4.450382,28.55294
8194,0.4033203,0.9255371,-0.1201172,-3.160305,-0.0610687,-1.969466,28.6
7878,0.3459473,0.9345703,-0.1047363,-0.778626,-0.9312977,-4.053435,28.55294
7824,0.2636719,0.9404297,-0.1450195,0.9389313,-1.458015,-2.572519,28.64706
7837,0.2458496,0.9421387,-0.166748,1.587786,-1.114504,0.3740458,28.6
7789,0.2736816,0.9516602,-0.1757813,0.6030535,-1.091603,1.961832,28.50588
7834,0.3112793,0.9291992,-0.1887207,-1.748092,-0.4427481,1.053435,28.55294
7818,0.3374023,0.9304199,-0.1689453,-2.076336,-0.1145038,-0.8091603,28.6
7844,0.3225098,0.9372559,-0.1384277,-1.541985,-0.2519084,-2.099237,28.64706
7825,0.2941895,0.9416504,-0.130127,-0.1832061,-1.114504,-1.419847,28.50588
7837,0.2802734,0.9343262,-0.1586914,0.4503817,-0.8854962,-0.0610687,28.55294
7792,0.2873535,0.9428711,-0.1555176,0.2290076,-0.6946565,0.4503817,28.6
7818,0.3105469,0.9406738,-0.159668,-0.2213741,-0.870229,0.351145,28.6
7838,0.3154297,0.9328613,-0.1589355,-1.778626,0.04580153,-0.4198473,28.64706
7821,0.3081055,0.9443359,-0.1501465,-2.122137,-0.2519084,-0.5801527,28.50588
8069,0.02050781,0.939209,0.08105469,99.39695,250.1298,21.32825,28.6
7839,0.9013672,0.6970215,-0.4074707,32.63359,135.1374,-18.57252,28.6
7863,0.4838867,1.009033,-0.01831055,19.58779,12.28244,-55.38168,28.45882
7802,-0.1437988,0.96875,-0.09204102,35.58015,80.92367,5.374046,28.50588
7763,0.1655273,1.007568,-0.2038574,17.9771,30.67939,19.15267,28.55294
7811,0.1877441,0.9160156,-0.3273926,-2.427481,-5.633588,31.90076,28.6
7790,0.2019043,0.9682617,-0.2756348,-6.160306,3.580153,28.83969,28.6
7812,0.2392578,0.8374023,-0.1999512,-8.969465,7.519084,18.64886,28.55294
7798,0.4611816,0.9052734,-0.08569336,-9.145039,2.59542,13.20611,28.6
7831,0.5449219,0.8813477,-0.07739258,-4.305344,-0.5343512,-1.007634,28.55294
7818,0.4875488,0.9003906,-0.07861328,3.335878,-0.870229,-9.80916,28.6
7809,0.2854004,0.9389648,-0.1328125,6.80916,-3.022901,-8.977099,28.6
7795,0.1811523,0.9638672,-0.1887207,5.839694,-1.839695,-2.129771,28.64706
7768,0.1816406,0.9521484,-0.2480469,0.8244275,-0.740458,4.671756,28.64706
8176,0.2927246,0.9294434,-0.2233887,-3.816794,0.6946565,6.167939,28.6
7856,0.375,0.9267578,-0.1420898,-4.923664,0.8015267,2.732824,28.50588
7820,0.385498,0.9306641,-0.1052246,-2.916031,0.09160305,-1.29771,28.45882
7853,0.3464355,0.9350586,-0.1113281,0.129771,-1.160305,-3.290076,28.6
7783,0.2858887,0.9411621,-0.1362305,2.244275,-1.70229,-1.992366,28.55294
7783,0.2636719,0.9506836,-0.175293,2.022901,-1.244275,0.2519084,28.64706
7852,0.2832031,0.9257813,-0.208252,-0.389313,-0.6030535,1.21374,28.6
7753,0.3205566,0.9250488,-0.1862793,-2.183206,-0.07633588,0.740458,28.50588
7827,0.3359375,0.9362793,-0.1450195,-1.992366,0.1984733,-0.6870229,28.55294
7833,0.3237305,0.9401855,-0.1196289,-1.274809,-0.961832,-1.427481,28.50588
7818,0.3007813,0.9387207,-0.1472168,-0.5801527,-0.5114504,-1.236641,28.55294
7807,0.2905273,0.9372559,-0.1608887,1.061069,-1.687023,-0.3206107,28.55294
7802,0.2978516,0.9375,-0.171875,-0.7099237,-0.6870229,0.3587786,28.55294
7798,0.2973633,0.9284668,-0.170166,-0.7557252,-0.4427481,0.3282443,28.6
8067,1.176514,0.9157715,-0.06298828,66.37405,179.2061,-26.79389,28.64706
7861,0.4897461,0.9743652,-0.06054688,6.610687,-6.51145,-42.1832,28.55294
7836,-0.1064453,1.015381,-0.05200195,42.59542,102.6947,-10.58779,28.64706
7770,0.1298828,1.040039,-0.1672363,27.16031,47.20611,8.236641,28.50588
7817,0.1967773,0.9262695,-0.3256836,5.282443,-11.23664,29.99237,28.6
7842,0.1774902,0.970459,-0.3427734,-4.335878,-5.396946,33.76336,28.55294
7796,0.1210938,0.9577637,-0.2775879,-11.9313,4.48855,36.35878,28.6
7806,0.3796387,0.9191895,-0.1333008,-15.54962,-3.694656,19.24427,28.6
7800,0.4858398,0.9067383,-0.05371094,-7.38168,2.984733,7.847328,28.50588
7824,0.541748,0.8974609,-0.01953125,-0.610687,1.114504,-5.832061,28.6
7825,0.420166,0.9172363,-0.08618164,5.740458,-3.977099,-12.19847,28.50588
7811,0.2573242,0.9643555,-0.1264648,8.877863,-3.541985,-8.259542,28.55294
7802,0.1887207,0.9667969,-0.2167969,5.694656,-1.908397,-0.870229,28.6
7819,0.2172852,0.9455566,-0.2758789,0.1145038,-0.5419847,5.038168,28.64706
8212,0.3015137,0.9345703,-0.2143555,-6.061069,1.007634,6.022901,28.55294
7840,0.3718262,0.9272461,-0.1325684,-6.687023,1.534351,2.78626,28.64706
7820,0.3869629,0.9213867,-0.09204102,-3.770992,0.5419847,-1.282443,28.45882
7803,0.357666,0.9367676,-0.08520508,0.7938931,-1.549618,-3.183206,28.6
7803,0.3034668,0.9333496,-0.1452637,2.938931,-1.900763,-2.580153,28.55294
7788,0.2663574,0.9375,-0.1894531,3.274809,-1.206107,-0.5725191,28.50588
7822,0.2873535,0.9433594,-0.2062988,1.045802,-0.9007633,0.9847328,28.69412
7815,0.309082,0.935791,-0.2016602,-2.267176,-0.2671756,1.175573,28.55294
7834,0.3295898,0.9226074,-0.1721191,-3.946565,0.2366412,0.1221374,28.6
7809,0.3305664,0.9313965,-0.1416016,-2.274809,0.04580153,-1.038168,28.6
7790,0.3212891,0.9396973,-0.1213379,-0.2824428,-0.9923664,-1.29771,28.50588
7809,0.298584,0.9353027,-0.1206055,1.40458,-1.343511,-1.022901,28.55294
7828,0.2922363,0.9350586,-0.166748,1.099237,-1.21374,-0.1450382,28.6
7781,0.3095703,0.9240723,-0.189209,0.09160305,-0.6717557,0.1221374,28.55294
8178,0.3193359,0.9326172,-0.1765137,-2.129771,-0.1755725,-0.01526718,28.6
16252,0.3225098,0.940918,-0.152832,-2.244275,-0.2977099,-0.3664122,28.55294
7859,0.3134766,0.9445801,-0.1325684,-0.5877862,-0.8473283,-0.1526718,28.64706
7786,0.3051758,0.942627,-0.1467285,0.8167939,-0.7862596,0.09923664,28.6
7816,0.3039551,0.9365234,-0.1586914,0.740458,-0.8244275,0.4503817,28.55294
7811,0.3100586,0.9350586,-0.1704102,-0.1450382,-0.5496183,0.2366412,28.6
7786,0.3112793,0.9345703,-0.1691895,-1.160305,-0.1145038,0.2519084,28.64706
7798,0.3186035,0.9335938,-0.1569824,-1.732824,-0.2213741,0.2366412,28.55294
7829,0.3112793,0.9362793,-0.1379395,-1.145038,-0.3816794,0.3587786,28.6
7825,0.3117676,0.9379883,-0.151123,-0.2824428,-0.4732824,0.4427481,28.55294
7791,-0.1750488,0.8620605,-0.3779297,84.03053,250.1298,14.71756,28.55294
7802,0.5805664,0.7790527,-0.1467285,21.52672,167.8779,-8.015267,28.55294
7787,0.3405762,0.7023926,-0.378418,-25.07634,-3.610687,-51.36641,28.6
7798,-0.1291504,1.102783,0.003173828,20.0,92.19084,-0.7175572,28.50588
8147,0.177002,1.108887,0.1271973,18.0916,25.16794,19.86259,28.6
7847,0.1994629,0.9545898,-0.09716797,9.702291,-13.47328,33.50382,28.6
7812,0.1989746,0.9694824,-0.1787109,13.31298,-4.076336,40.48092,28.64706
7778,0.1894531,0.9553223,-0.263916,9.717557,0.389313,54.8168,28.6
7815,0.3439941,0.861084,-0.3818359,-2.091603,7.740458,25.25191,28.55294
7764,0.4641113,0.8747559,-0.2834473,-8.229008,2.862595,11.75572,28.55294
7844,0.6298828,0.8566895,-0.1689453,-9.748092,0.8015267,-4.961832,28.64706
7844,0.4492188,0.9348145,-0.08129883,-4.549618,2.916031,-12.67176,28.50588
7811,0.2775879,0.9436035,-0.06542969,-0.2061069,-2.396947,-9.763359,28.64706
7832,0.1782227,0.9675293,-0.09057617,7.076336,-3.70229,-0.7099237,28.55294
7792,0.1467285,0.9785156,-0.1699219,5.656488,-2.78626,6.824428,28.55294
7750,0.2714844,0.9194336,-0.2214355,2.083969,1.480916,8.015267,28.6
7806,0.4057617,0.9135742,-0.2487793,-1.351145,0.9847328,3.793893,28.55294
7803,0.4360352,0.9089355,-0.1901855,-4.328244,0.1221374,-1.931298,28.64706
8238,0.3081055,0.9458008,-0.154541,1.961832,-1.748092,1.526718,28.64706
7855,0.3505859,0.9223633,-0.2021484,0.870229,-1.099237,0.03816794,28.64706
7846,0.3527832,0.9262695,-0.1955566,-0.832061,-0.007633588,-1.694656,28.6
7817,0.3249512,0.9467773,-0.170166,-2.625954,-0.3816794,-2.129771,28.55294
7842,0.3024902,0.9384766,-0.1508789,-3.267176,-0.4427481,-0.9389313,28.55294
7844,0.295166,0.9418945,-0.1328125,-1.725191,-0.04580153,0.03816794,28.50588
7787,0.3156738,0.9326172,-0.1193848,-0.9236641,-0.7557252,0.08396947,28.55294
7783,0.3327637,0.942627,-0.145752,0.7480916,-1.648855,-0.389313,28.55294
7790,0.315918,0.9396973,-0.1572266,0.129771,-0.480916,-0.6259542,28.50588
7783,0.3166504,0.9345703,-0.1743164,-0.3664122,-0.5954198,-0.7022901,28.55294
7821,0.3049316,0.9294434,-0.1748047,-2.183206,-0.4885496,-0.2977099,28.64706
7785,0.300293,0.9396973,-0.1560059,-1.541985,-0.4045802,0.389313,28.64706
7797,0.4272461,0.8425293,-0.4260254,24.90076,217.4275,-62.29771,28.55294
7854,0.2497559,0.8339844,-0.4282227,-20.84733,-2.343511,-38.19847,28.64706
8152,-0.1689453,0.9992676,0.01855469,1.847328,47.59542,7.183206,28.50588
7834,0.08398438,1.064941,0.1381836,2.961832,36.67176,17.96183,28.45882
7816,0.1958008,0.9135742,-0.02636719,5.832061,-14.19084,38.77099,28.45882
7780,0.2197266,0.9868164,-0.05712891,15.67939,-2.656489,38.80153,28.50588
7783,0.190918,0.9382324,-0.2316895,14.09924,-2.053435,52.42748,28.55294
7766,0.3754883,0.8935547,-0.3571777,8.755725,2.076336,30.19084,28.6
7768,0.4711914,0.8664551,-0.3190918,-2.641221,2.59542,16.16794,28.6
7819,0.5888672,0.8737793,-0.2333984,-8.236641,0.6870229,1.290076,28.55294
7784,0.5087891,0.9128418,-0.1240234,-8.167939,2.763359,-9.297709,28.50588
7860,0.3286133,0.9399414,-0.09692383,-4.91603,0.4732824,-9.763359,28.45882
7788,0.2124023,0.96875,-0.06420898,0.9465649,-1.198473,-3.450382,28.6
7757,0.1899414,0.9550781,-0.1247559,4.465649,-1.755725,3.80916,28.64706
7775,0.2648926,0.9465332,-0.1872559,4.587786,-1.679389,6.053435,28.64706
7779,0.3491211,0.9208984,-0.2224121,1.832061,-0.6412213,3.519084,28.50588
8195,0.3891602,0.9240723,-0.2019043,-2.946565,-0.6335878,-1.854962,28.55294
7845,0.3547363,0.9260254,-0.170166,-4.877862,0.9236641,-3.847328,28.45882
7834,0.2805176,0.9370117,-0.1455078,-3.503817,0.4503817,-2.19084,28.6
7803,0.2697754,0.9472656,-0.1259766,-0.8167939,-0.6946565,0.3053435,28.55294
7784,0.2866211,0.9394531,-0.135498,1.19084,-1.496183,1.870229,28.50588
7820,0.3222656,0.932373,-0.1704102,1.664122,-1.0,0.9160305,28.6
7861,0.3537598,0.9274902,-0.2084961,0.1374046,-0.7175572,-1.328244,28.50588
7818,0.3352051,0.9311523,-0.2033691,-2.007634,0.09923664,-2.129771,28.55294
7795,0.3022461,0.9401855,-0.1757813,-3.007634,-0.1755725,-1.374046,28.50588
7826,0.2927246,0.9462891,-0.1513672,-2.358779,-0.09160305,0.1068702,28.6
7844,0.2922363,0.9453125,-0.1381836,-0.8778625,-0.3435115,1.274809,28.55294
7799,0.3139648,0.939209,-0.1494141,0.4885496,-1.099237,1.21374,28.6
7805,0.3344727,0.9284668,-0.175293,0.6335878,-1.045802,0.0610687,28.55294
7845,0.3239746,0.9333496,-0.1877441,-0.2748091,-0.4198473,-0.8854962,28.50588
8218,0.3000488,0.9377441,-0.1799316,-1.755725,-0.2137404,-0.6564885,28.64706
7840,0.296875,0.9431152,-0.1572266,-1.870229,-0.06870229,0.1374046,28.55294
7817,0.2954102,0.9377441,-0.145752,-0.8778625,-0.3969466,0.9160305,28.6
7798,0.3112793,0.9350586,-0.1516113,0.2213741,-0.7633588,1.19084,28.55294
16229,0.3186035,0.9343262,-0.1743164,0.08396947,-0.5725191,0.3740458,28.6
7814,0.05957031,0.732666,-0.8146973,127.2672,250.1298,-6.167939,28.55294
7801,1.999939,0.9714355,-0.496582,59.35115,107.542,-49.30534,28.50588
7830,0.2504883,0.965332,-0.7436523,-21.0458,7.358778,-64.39695,28.55294
7810,-0.541748,0.793457,-0.4875488,-28.22137,59.76336,25.30534,28.69412
7791,0.2321777,1.026611,-0.01489258,-25.16794,34.19847,13.78626,28.64706
7807,0.2702637,0.9216309,0.09472656,-23.68702,-7.839694,21.77863,28.50588
7798,0.2145996,0.9970703,0.182373,-0.8091603,-0.3664122,27.9771,28.55294
7820,0.2480469,0.9536133,0.04418945,13.31298,-3.183206,40.96947,28.6
7774,0.2739258,0.9350586,-0.07104492,24.92366,-2.748092,37.35115,28.6
8217,0.4221191,0.9099121,-0.3325195,-15.50382,4.160306,-2.541985,28.55294
7833,0.3056641,0.9658203,-0.1057129,-13.65649,2.793893,-2.473282,28.69412
7828,0.2626953,0.9509277,-0.04370117,-8.389313,2.732824,0.4427481,28.6
7780,0.2514648,0.9624023,-0.009033203,1.549618,-1.603053,3.59542,28.6
7776,0.2961426,0.9230957,-0.09570313,7.824428,-1.465649,4.022901,28.41176
7790,0.3464355,0.9282227,-0.1738281,10.77863,-3.770992,1.961832,28.64706
7786,0.3525391,0.9265137,-0.2727051,6.419847,-2.717557,0.1908397,28.50588
7801,0.3342285,0.9125977,-0.309082,-1.412214,0.8473283,-1.305344,28.64706
7817,0.3154297,0.942627,-0.2365723,-6.625954,1.541985,-1.450382,28.64706
7818,0.295166,0.9501953,-0.1577148,-7.908397,0.961832,-0.5725191,28.6
7821,0.2907715,0.9387207,-0.119873,-5.236641,0.04580153,0.2900764,28.55294
7842,0.3076172,0.939209,-0.1022949,-0.6412213,-0.4580153,0.3282443,28.6
7800,0.3171387,0.9423828,-0.1501465,1.885496,-1.396947,-0.2519084,28.6
7807,0.3354492,0.9428711,-0.1831055,2.740458,-1.351145,-1.320611,28.50588
8160,0.3132324,0.9331055,-0.2177734,-0.1679389,-0.5648855,-1.473282,28.55294
7831,0.2927246,0.9421387,-0.2219238,-2.854962,0.1374046,-0.6946565,28.6
7790,0.2897949,0.9382324,-0.1760254,-4.137404,0.6564885,-0.01526718,28.55294
7825,0.3029785,0.9455566,-0.1508789,-3.099237,-0.3053435,0.3435115,28.6
7844,0.3076172,0.9367676,-0.1384277,-1.938931,-0.5954198,0.2137404,28.45882
7806,0.3190918,0.9404297,-0.1394043,0.610687,-0.9694656,-0.389313,28.6
7824,0.3146973,0.9384766,-0.1779785,1.251908,-0.740458,-0.7633588,28.55294
7802,0.3088379,0.9428711,-0.1896973,0.8473283,-0.6870229,-0.6030535,28.41176
7828,0.2893066,0.9387207,-0.1899414,-0.7938931,-0.351145,0.4961832,28.55294
7793,0.2980957,0.935791,-0.1774902,-1.725191,-0.2366412,0.9847328,28.64706
7798,0.3049316,0.9345703,-0.1679688,-1.145038,-0.6564885,0.9083969,28.6
7808,0.3210449,0.9353027,-0.1660156,-0.8778625,-0.480916,0.4732824,28.55294
7818,0.06152344,0.9614258,-0.02539063,140.5343,250.1298,-29.22901,28.50588
